Concentration,Time_min,RFU_Interpolated,Concentration [μM]
5.0 ug/mL,2.48,3130134.09971,5.0
5.0 ug/mL,2.5,3130134.09971,5.0
5.0 ug/mL,2.52,3130134.09971,5.0
5.0 ug/mL,2.54,3130134.09971,5.0
5.0 ug/mL,2.56,3130134.09971,5.0
5.0 ug/mL,2.58,3130134.09971,5.0
5.0 ug/mL,2.6,3130134.09971,5.0
5.0 ug/mL,2.62,3130134.09971,5.0
5.0 ug/mL,2.64,3130134.09971,5.0
5.0 ug/mL,2.66,3130134.09971,5.0
5.0 ug/mL,2.68,3130134.09971,5.0
5.0 ug/mL,2.7,3130134.09971,5.0
5.0 ug/mL,2.72,3130134.09971,5.0
5.0 ug/mL,2.74,3130134.09971,5.0
5.0 ug/mL,2.7600000000000002,3130134.09971,5.0
5.0 ug/mL,2.7800000000000002,3130134.09971,5.0
5.0 ug/mL,2.8000000000000003,3130134.09971,5.0
5.0 ug/mL,2.82,3130134.09971,5.0
5.0 ug/mL,2.84,3130134.09971,5.0
5.0 ug/mL,2.86,3130134.09971,5.0
5.0 ug/mL,2.88,3130134.09971,5.0
5.0 ug/mL,2.9,3130134.09971,5.0
5.0 ug/mL,2.92,3130134.09971,5.0
5.0 ug/mL,2.94,3130134.09971,5.0
5.0 ug/mL,2.96,3130134.09971,5.0
5.0 ug/mL,2.98,3130134.09971,5.0
5.0 ug/mL,3.0,3130134.09971,5.0
5.0 ug/mL,3.02,3130134.09971,5.0
5.0 ug/mL,3.04,3130134.09971,5.0
5.0 ug/mL,3.06,3130134.09971,5.0
5.0 ug/mL,3.08,3130134.09971,5.0
5.0 ug/mL,3.1,3130134.09971,5.0
5.0 ug/mL,3.12,3130134.09971,5.0
5.0 ug/mL,3.14,3130134.09971,5.0
5.0 ug/mL,3.16,3130134.09971,5.0
5.0 ug/mL,3.18,3130134.09971,5.0
5.0 ug/mL,3.2,3130134.09971,5.0
5.0 ug/mL,3.22,3130134.09971,5.0
5.0 ug/mL,3.24,3130134.09971,5.0
5.0 ug/mL,3.2600000000000002,3130134.09971,5.0
5.0 ug/mL,3.2800000000000002,3130134.09971,5.0
5.0 ug/mL,3.3000000000000003,3130134.09971,5.0
5.0 ug/mL,3.3200000000000003,3130134.09971,5.0
5.0 ug/mL,3.34,3130134.09971,5.0
5.0 ug/mL,3.36,3130134.09971,5.0
5.0 ug/mL,3.38,3130134.09971,5.0
5.0 ug/mL,3.4,3130134.09971,5.0
5.0 ug/mL,3.42,3130134.09971,5.0
5.0 ug/mL,3.44,3130134.09971,5.0
5.0 ug/mL,3.46,3130134.09971,5.0
5.0 ug/mL,3.48,3130134.09971,5.0
5.0 ug/mL,3.5,3130134.09971,5.0
5.0 ug/mL,3.52,3130134.09971,5.0
5.0 ug/mL,3.54,3130134.09971,5.0
5.0 ug/mL,3.56,3130134.09971,5.0
5.0 ug/mL,3.58,3130134.09971,5.0
5.0 ug/mL,3.6,3130134.09971,5.0
5.0 ug/mL,3.62,3130134.09971,5.0
5.0 ug/mL,3.64,3130134.09971,5.0
5.0 ug/mL,3.66,3130134.09971,5.0
5.0 ug/mL,3.68,3130134.09971,5.0
5.0 ug/mL,3.7,3130134.09971,5.0
5.0 ug/mL,3.72,3130134.09971,5.0
5.0 ug/mL,3.74,3130134.09971,5.0
5.0 ug/mL,3.7600000000000002,3130134.09971,5.0
5.0 ug/mL,3.7800000000000002,3130134.09971,5.0
5.0 ug/mL,3.8000000000000003,3130134.09971,5.0
5.0 ug/mL,3.8200000000000003,3130134.09971,5.0
5.0 ug/mL,3.84,3130134.09971,5.0
5.0 ug/mL,3.86,3130134.09971,5.0
5.0 ug/mL,3.88,3130134.09971,5.0
5.0 ug/mL,3.9,3130134.09971,5.0
5.0 ug/mL,3.92,3130134.09971,5.0
5.0 ug/mL,3.94,3130134.09971,5.0
5.0 ug/mL,3.96,3130134.09971,5.0
5.0 ug/mL,3.98,3130134.09971,5.0
5.0 ug/mL,4.0,3130134.09971,5.0
5.0 ug/mL,4.0200000000000005,3130134.09971,5.0
5.0 ug/mL,4.04,3130134.09971,5.0
5.0 ug/mL,4.0600000000000005,3130134.09971,5.0
5.0 ug/mL,4.08,3130134.09971,5.0
5.0 ug/mL,4.1,3130134.09971,5.0
5.0 ug/mL,4.12,3130134.09971,5.0
5.0 ug/mL,4.14,3130134.09971,5.0
5.0 ug/mL,4.16,3130134.09971,5.0
5.0 ug/mL,4.18,3130134.09971,5.0
5.0 ug/mL,4.2,3130134.09971,5.0
5.0 ug/mL,4.22,3130134.09971,5.0
5.0 ug/mL,4.24,3130134.09971,5.0
5.0 ug/mL,4.26,3130134.09971,5.0
5.0 ug/mL,4.28,3130134.09971,5.0
5.0 ug/mL,4.3,3130134.09971,5.0
5.0 ug/mL,4.32,3130134.09971,5.0
5.0 ug/mL,4.34,3130134.09971,5.0
5.0 ug/mL,4.36,3130134.09971,5.0
5.0 ug/mL,4.38,3130134.09971,5.0
5.0 ug/mL,4.4,3130134.09971,5.0
5.0 ug/mL,4.42,3130134.09971,5.0
5.0 ug/mL,4.44,3130134.09971,5.0
5.0 ug/mL,4.46,3130134.09971,5.0
5.0 ug/mL,4.48,3130134.09971,5.0
5.0 ug/mL,4.5,3130134.09971,5.0
5.0 ug/mL,4.5200000000000005,3130134.09971,5.0
5.0 ug/mL,4.54,3130134.09971,5.0
5.0 ug/mL,4.5600000000000005,3130134.09971,5.0
5.0 ug/mL,4.58,3130134.09971,5.0
5.0 ug/mL,4.6000000000000005,3130134.09971,5.0
5.0 ug/mL,4.62,3130134.09971,5.0
5.0 ug/mL,4.64,3130134.09971,5.0
5.0 ug/mL,4.66,3130134.09971,5.0
5.0 ug/mL,4.68,3130134.09971,5.0
5.0 ug/mL,4.7,3130134.09971,5.0
5.0 ug/mL,4.72,3130134.09971,5.0
5.0 ug/mL,4.74,3130134.09971,5.0
5.0 ug/mL,4.76,3130134.09971,5.0
5.0 ug/mL,4.78,3130134.09971,5.0
5.0 ug/mL,4.8,3130134.09971,5.0
5.0 ug/mL,4.82,3130134.09971,5.0
5.0 ug/mL,4.84,3130134.09971,5.0
5.0 ug/mL,4.86,3130134.09971,5.0
5.0 ug/mL,4.88,3130134.09971,5.0
5.0 ug/mL,4.9,3130134.09971,5.0
5.0 ug/mL,4.92,3130134.09971,5.0
5.0 ug/mL,4.94,3130134.09971,5.0
5.0 ug/mL,4.96,3130134.09971,5.0
5.0 ug/mL,4.98,3130134.09971,5.0
5.0 ug/mL,5.0,3130134.09971,5.0
5.0 ug/mL,5.0200000000000005,3130134.09971,5.0
5.0 ug/mL,5.04,3130134.09971,5.0
5.0 ug/mL,5.0600000000000005,3130134.09971,5.0
5.0 ug/mL,5.08,3130134.09971,5.0
5.0 ug/mL,5.1000000000000005,3130134.09971,5.0
5.0 ug/mL,5.12,3130134.09971,5.0
5.0 ug/mL,5.14,3130134.09971,5.0
5.0 ug/mL,5.16,3130134.09971,5.0
5.0 ug/mL,5.18,3130134.09971,5.0
5.0 ug/mL,5.2,3130134.09971,5.0
5.0 ug/mL,5.22,3130134.09971,5.0
5.0 ug/mL,5.24,3130134.09971,5.0
5.0 ug/mL,5.26,3130134.09971,5.0
5.0 ug/mL,5.28,3130134.09971,5.0
5.0 ug/mL,5.3,3130134.09971,5.0
5.0 ug/mL,5.32,3130134.09971,5.0
5.0 ug/mL,5.34,3130134.09971,5.0
5.0 ug/mL,5.36,3130134.09971,5.0
5.0 ug/mL,5.38,3130134.09971,5.0
5.0 ug/mL,5.4,3130134.09971,5.0
5.0 ug/mL,5.42,3130134.09971,5.0
5.0 ug/mL,5.44,3130134.09971,5.0
5.0 ug/mL,5.46,3130134.09971,5.0
5.0 ug/mL,5.48,3130134.09971,5.0
5.0 ug/mL,5.5,3130134.09971,5.0
5.0 ug/mL,5.5200000000000005,3130134.09971,5.0
5.0 ug/mL,5.54,3130134.09971,5.0
5.0 ug/mL,5.5600000000000005,3130134.09971,5.0
5.0 ug/mL,5.58,3130134.09971,5.0
5.0 ug/mL,5.6000000000000005,3130134.09971,5.0
5.0 ug/mL,5.62,3130134.09971,5.0
5.0 ug/mL,5.64,3130134.09971,5.0
5.0 ug/mL,5.66,3130134.09971,5.0
5.0 ug/mL,5.68,3130134.09971,5.0
5.0 ug/mL,5.7,3130134.09971,5.0
5.0 ug/mL,5.72,3130134.09971,5.0
5.0 ug/mL,5.74,3130134.09971,5.0
5.0 ug/mL,5.76,3130134.09971,5.0
5.0 ug/mL,5.78,3130134.09971,5.0
5.0 ug/mL,5.8,3130134.09971,5.0
5.0 ug/mL,5.82,3130134.09971,5.0
5.0 ug/mL,5.84,3130134.09971,5.0
5.0 ug/mL,5.86,3130134.09971,5.0
5.0 ug/mL,5.88,3130134.09971,5.0
5.0 ug/mL,5.9,3130134.09971,5.0
5.0 ug/mL,5.92,3130134.09971,5.0
5.0 ug/mL,5.94,3130134.09971,5.0
5.0 ug/mL,5.96,3130134.09971,5.0
5.0 ug/mL,5.98,3130134.09971,5.0
5.0 ug/mL,6.0,3130134.09971,5.0
5.0 ug/mL,6.0200000000000005,3130134.09971,5.0
5.0 ug/mL,6.04,3130134.09971,5.0
5.0 ug/mL,6.0600000000000005,3130134.09971,5.0
5.0 ug/mL,6.08,3130134.09971,5.0
5.0 ug/mL,6.1000000000000005,3130134.09971,5.0
5.0 ug/mL,6.12,3130134.09971,5.0
5.0 ug/mL,6.140000000000001,3130134.09971,5.0
5.0 ug/mL,6.16,3130134.09971,5.0
5.0 ug/mL,6.18,3130134.09971,5.0
5.0 ug/mL,6.2,3130134.09971,5.0
5.0 ug/mL,6.22,3130134.09971,5.0
5.0 ug/mL,6.24,3130134.09971,5.0
5.0 ug/mL,6.26,3130134.09971,5.0
5.0 ug/mL,6.28,3130134.09971,5.0
5.0 ug/mL,6.3,3130134.09971,5.0
5.0 ug/mL,6.32,3130134.09971,5.0
5.0 ug/mL,6.34,3130134.09971,5.0
5.0 ug/mL,6.36,3130134.09971,5.0
5.0 ug/mL,6.38,3130134.09971,5.0
5.0 ug/mL,6.4,3130134.09971,5.0
5.0 ug/mL,6.42,3130134.09971,5.0
5.0 ug/mL,6.44,3130134.09971,5.0
5.0 ug/mL,6.46,3130134.09971,5.0
5.0 ug/mL,6.48,3130134.09971,5.0
5.0 ug/mL,6.5,3130134.09971,5.0
5.0 ug/mL,6.5200000000000005,3130134.09971,5.0
5.0 ug/mL,6.54,3130134.09971,5.0
5.0 ug/mL,6.5600000000000005,3130134.09971,5.0
5.0 ug/mL,6.58,3130134.09971,5.0
5.0 ug/mL,6.6000000000000005,3130134.09971,5.0
5.0 ug/mL,6.62,3130134.09971,5.0
5.0 ug/mL,6.640000000000001,3130134.09971,5.0
5.0 ug/mL,6.66,3130134.09971,5.0
5.0 ug/mL,6.68,3130134.09971,5.0
5.0 ug/mL,6.7,3130134.09971,5.0
5.0 ug/mL,6.72,3130134.09971,5.0
5.0 ug/mL,6.74,3130134.09971,5.0
5.0 ug/mL,6.76,3130134.09971,5.0
5.0 ug/mL,6.78,3130134.09971,5.0
5.0 ug/mL,6.8,3130134.09971,5.0
5.0 ug/mL,6.82,3130134.09971,5.0
5.0 ug/mL,6.84,3130134.09971,5.0
5.0 ug/mL,6.86,3130134.09971,5.0
5.0 ug/mL,6.88,3130134.09971,5.0
5.0 ug/mL,6.9,3130134.09971,5.0
5.0 ug/mL,6.92,3130134.09971,5.0
5.0 ug/mL,6.94,3130134.09971,5.0
5.0 ug/mL,6.96,3130134.09971,5.0
5.0 ug/mL,6.98,3130134.09971,5.0
5.0 ug/mL,7.0,3130134.09971,5.0
5.0 ug/mL,7.0200000000000005,3130134.09971,5.0
5.0 ug/mL,7.04,3130134.09971,5.0
5.0 ug/mL,7.0600000000000005,3130134.09971,5.0
5.0 ug/mL,7.08,3130134.09971,5.0
5.0 ug/mL,7.1000000000000005,3130134.09971,5.0
5.0 ug/mL,7.12,3130134.09971,5.0
5.0 ug/mL,7.140000000000001,3130134.09971,5.0
5.0 ug/mL,7.16,3130134.09971,5.0
5.0 ug/mL,7.18,3130134.09971,5.0
5.0 ug/mL,7.2,3130134.09971,5.0
5.0 ug/mL,7.22,3130134.09971,5.0
5.0 ug/mL,7.24,3130134.09971,5.0
5.0 ug/mL,7.26,3130134.09971,5.0
5.0 ug/mL,7.28,3130134.09971,5.0
5.0 ug/mL,7.3,3130134.09971,5.0
5.0 ug/mL,7.32,3130134.09971,5.0
5.0 ug/mL,7.34,3130134.09971,5.0
5.0 ug/mL,7.36,3130134.09971,5.0
5.0 ug/mL,7.38,3130134.09971,5.0
5.0 ug/mL,7.4,3130134.09971,5.0
5.0 ug/mL,7.42,3130134.09971,5.0
5.0 ug/mL,7.44,3130134.09971,5.0
5.0 ug/mL,7.46,3130134.09971,5.0
5.0 ug/mL,7.48,3130134.09971,5.0
5.0 ug/mL,7.5,3130134.09971,5.0
5.0 ug/mL,7.5200000000000005,3130134.09971,5.0
5.0 ug/mL,7.54,3130134.09971,5.0
5.0 ug/mL,7.5600000000000005,3130134.09971,5.0
5.0 ug/mL,7.58,3130134.09971,5.0
5.0 ug/mL,7.6000000000000005,3130134.09971,5.0
5.0 ug/mL,7.62,3130134.09971,5.0
5.0 ug/mL,7.640000000000001,3130134.09971,5.0
5.0 ug/mL,7.66,3130134.09971,5.0
5.0 ug/mL,7.68,3130134.09971,5.0
5.0 ug/mL,7.7,3130134.09971,5.0
5.0 ug/mL,7.72,3130134.09971,5.0
5.0 ug/mL,7.74,3130134.09971,5.0
5.0 ug/mL,7.76,3130134.09971,5.0
5.0 ug/mL,7.78,3130134.09971,5.0
5.0 ug/mL,7.8,3130134.09971,5.0
5.0 ug/mL,7.82,3130134.09971,5.0
5.0 ug/mL,7.84,3130134.09971,5.0
5.0 ug/mL,7.86,3130134.09971,5.0
5.0 ug/mL,7.88,3130134.09971,5.0
5.0 ug/mL,7.9,3130134.09971,5.0
5.0 ug/mL,7.92,3130134.09971,5.0
5.0 ug/mL,7.94,3130134.09971,5.0
5.0 ug/mL,7.96,3130134.09971,5.0
5.0 ug/mL,7.98,3130134.09971,5.0
5.0 ug/mL,8.0,3130134.09971,5.0
5.0 ug/mL,8.02,3130134.09971,5.0
5.0 ug/mL,8.040000000000001,3130134.09971,5.0
5.0 ug/mL,8.06,3130134.09971,5.0
5.0 ug/mL,8.08,3130134.09971,5.0
5.0 ug/mL,8.1,3130134.09971,5.0
5.0 ug/mL,8.120000000000001,3130134.09971,5.0
