Concentration,v0,F0,Fmax,R_squared,linear_fraction,Equation,Concentration [μM]
5.0 ug/mL,0,3130134.09971,3226012.29565,0,1.0,v0 = 0.00 (선형 구간 기울기),5.0
10.0 ug/mL,0,5335332.60632,5705148.50495,0,1.0,v0 = 0.00 (선형 구간 기울기),10.0
20.0 ug/mL,0,8691069.46422,13649300.0,0,1.0,v0 = 0.00 (선형 구간 기울기),20.0
40.0 ug/mL,0,11814000.0,13697300.0,0,1.0,v0 = 0.00 (선형 구간 기울기),40.0
50.0 ug/mL,0,12361800.0,15806600.0,0,1.0,v0 = 0.00 (선형 구간 기울기),50.0
80.0 ug/mL,0,14060200.0,16676400.0,0,1.0,v0 = 0.00 (선형 구간 기울기),80.0
