	0.3125	0.3125	0.3125	0.625	0.625	0.625	1.25	1.25	1.25	2.5	2.5	2.5	5.0	5.0	5.0
time_min	mean	SD	N	mean	SD	N	mean	SD	N	mean	SD	N	mean	SD	N
0	0	0	50	0	0	50	0	0	50	0	0	50	0	0	50
1	7445.16	100.496	50	9881.38	118.798	50	12628.2	157.84505	50	12772.3	194.578	50	14144.1	202.368	50
5	8383.01	102.692	50	10728.6	156.341	50	13384	148.01309	50	14331.8	212.436	50	16100	206.877	50
10	8692.2	163.541	50	11184.8	132.565	50	13696	171.55884	50	15121.7	231.322	50	15978.1	239.443	50
15	9333.98	127.057	50	11177.6	162.774	50	13723.1	160.5641	50	14880.4	218.857	50	16245.9	188.897	50
20	9165.91	151.964	50	10773.7	163.252	50	13672.3	167.952	50	14392.1	209.78	50	15697.6	253.965	50
25	9165.72	149.793	50	10773.5	151.47	50	13439.5	206.781	50	14470.3	192.144	50	15398.7	191.192	50
30	9301.82	135.79	50	10874.5	156.121	50	13812.7	183.112	50	14647.4	187.78	50	15834.8	210.288	50
