	0.3125	0.3125	0.3125	0.625	0.625	0.625	1.25	1.25	1.25	2.5	2.5	2.5	5.0	5.0	5.0
time_min	mean	SD	N	mean	SD	N	mean	SD	N	mean	SD	N	mean	SD	N
0	0	0	50	0	0	50	0	0	50	0	0	50	0	0	50
1	2401.57	125.999	50	3659.89	692.768	50	4472.73	135.486	50	8464.61	262.758	50	11134.53	591.318	50
5	3093.45	105.112	50	4150.32	550.567	50	6460.81	498.019	50	8603.99	515.011	50	11265.1	385.088	50
10	4129.92	393.485	50	6040.28	216.295	50	7752.69	642.472	50	8638.78	365.478	50	11284.1	559.16	50
15	4955.85	110.155	50	7248.42	155.122	50	8303.38	160.231	50	9502.81	175.244	50	11848.43	375.291	50
20	5203.77	483.722	50	7610.78	295.311	50	8768.55	373.43	50	9937.22	621.501	50	11966.95	280.552	50
25	4943.59	113.921	50	7229.83	355.452	50	9023.12	375.601	50	9588.33	460.711	50	11727.63	185.792	50
30	4449.27	296.075	50	6506.89	100.589	50	8352.28	280.887	50	9137.89	195.9	50	11140.25	490.91	50
